"Disease1","Disease1_key","Disease1_name","Disease2","Disease2_key","Disease2_name","TestValue","ExpectedValue","Variance","PValue","AdjustedPValue"
"condition_198","198","Other eye condition","condition_313","313","Underbite",0,1.41185796747879,1.41046518053795,0.882741364705355,1
"condition_198","198","Other eye condition","condition_405","405","Atopic dermatitis (atopy)",4,2.27170285024844,2.27010781590713,0.125673480418335,1
"condition_198","198","Other eye condition","condition_406","406","Chronic or recurrent hot spots",0,1.20447464779027,1.20383900633447,0.863848691764294,1
"condition_198","198","Other eye condition","condition_411","411","Fleas",4,2.22772692240772,2.22570283514391,0.117427153330613,1
"condition_198","198","Other eye condition","condition_412","412","Food or medicine allergies that affect the skin",1,3.03491811790319,3.03149294738182,0.878746206040589,1
"condition_198","198","Other eye condition","condition_423","423","Pruritis (itchy skin)",4,3.69626696723125,3.69170480392829,0.43719664831728,1
"condition_198","198","Other eye condition","condition_426","426","Seasonal allergies",3,5.15240731380056,5.14359303858672,0.828703556534286,1
"condition_198","198","Other eye condition","condition_432","432","Ticks",2,2.02287375550851,2.02155676955607,0.506417794938217,1
"condition_198","198","Other eye condition","condition_498","498","Other skin condition",4,2.80334335816159,2.80081574896278,0.237293715744196,1
"condition_198","198","Other eye condition","condition_705","705","Anal sac impaction",0,1.82486864480257,1.82356034498617,0.91171016863067,1
"condition_198","198","Other eye condition","condition_708","708","Chronic or recurrent diarrhea",2,4.10119505386232,4.09499838739105,0.85044405792732,1
"condition_198","198","Other eye condition","condition_709","709","Chronic or recurrent vomiting",3,1.29842891411095,1.29779876824651,0.0676346522142313,1
"condition_198","198","Other eye condition","condition_712","712","Food or medicine allergies",2,2.65748414286957,2.65456761863713,0.656725106717279,1
"condition_198","198","Other eye condition","condition_713","713","Foreign body ingestion or blockage",2,2.57939161337439,2.57709111998905,0.640919245937001,1
"condition_198","198","Other eye condition","condition_798","798","Other gastrointestinal condition",5,1.38954121700673,1.38877993139041,0.00109310456269107,1
"condition_198","198","Other eye condition","condition_916","916","Urinary tract infection (chronic or recurrent)",1,2.51035636547571,2.50744437189901,0.829911146032335,1
"condition_198","198","Other eye condition","condition_1110","1110","Hip dysplasia",1,1.17576379658918,1.1751536983574,0.564401008604935,1
"condition_198","198","Other eye condition","condition_1117","1117","Patellar luxation",3,1.89132526602373,1.88769186852815,0.209851942401481,1
"condition_198","198","Other eye condition","condition_1198","1198","Other orthopedic condition",2,1.84636786621282,1.84500147294661,0.454973459375422,1
"condition_198","198","Other eye condition","condition_1605","1605","Bordetella and/or parainfluenza (kennel cough)",7,5.94883588475949,5.9372665182066,0.333089817192056,1
"condition_198","198","Other eye condition","condition_1609","1609","Coccidia",3,3.28861532047501,3.28454350482381,0.563264395004657,1
"condition_198","198","Other eye condition","condition_1616","1616","Gastrointestinal parasites",0,2.76820549474149,2.76580509128254,0.95199515591316,1
"condition_198","198","Other eye condition","condition_1617","1617","Giardia",14,12.3645730991289,12.3120274711541,0.320576860134526,1
"condition_198","198","Other eye condition","condition_1619","1619","Heartworm infection",0,1.42524611900767,1.42399674114789,0.883831475819839,1
"condition_198","198","Other eye condition","condition_1622","1622","Hookworms",6,4.05356191201751,4.04851978236618,0.166679636268342,1
"condition_198","198","Other eye condition","condition_1630","1630","Parvovirus",0,1.11832574128673,1.11788356708472,0.854908064682844,1
"condition_198","198","Other eye condition","condition_1634","1634","Roundworms",5,4.33266830171802,4.32691068096244,0.374175821038276,1
"condition_198","198","Other eye condition","condition_1637","1637","Tapeworms",2,3.09136897310501,3.0884015551163,0.732706360956852,1
"condition_198","198","Other eye condition","condition_1698","1698","Other infectious disease",2,1.30447655073119,1.30390142895525,0.271228708602019,1
"condition_198","198","Other eye condition","condition_1701","1701","Chocolate",4,3.18767878108415,3.18420170453082,0.324473157523428,1
"condition_198","198","Other eye condition","condition_1703","1703","Grapes or raisins",1,1.67415403625494,1.6732000049538,0.698878249502499,1
"condition_198","198","Other eye condition","condition_1704","1704","Ingestion of human medications",5,2.08979651944394,2.08835302463552,0.0220140353530391,1
"condition_198","198","Other eye condition","condition_1798","1798","Other ToxinConsumption",1,2.70416111039634,2.70056644497067,0.85013455317905,1
"condition_198","198","Other eye condition","condition_1801","1801","Dog bite",10,7.06109235084293,7.0448869410352,0.134091144450384,1
"condition_198","198","Other eye condition","condition_1805","1805","Fractured bone (other bone in limb)",0,1.69833926810611,1.69730512536322,0.903815070374898,1
"condition_198","198","Other eye condition","condition_1812","1812","Laceration",2,3.01679670573869,3.01394201927258,0.720957562391069,1
"condition_198","198","Other eye condition","condition_1813","1813","Penetrating wound (such as a stick)",2,1.40362322729455,1.40291033293649,0.307303827846699,1
"condition_198","198","Other eye condition","condition_1817","1817","Torn or broken toenail",3,3.13438769029988,3.13120561986933,0.530268885998649,1
"condition_198","198","Other eye condition","condition_1898","1898","Other trauma",6,4.15747130127672,4.15180384909263,0.182927381016905,1
"condition_202","202","Ear Infection","condition_304","304","Dental calculus (yellow build-up on teeth)",13,11.2417628042742,11.1783325317812,0.299484826684795,1
"condition_202","202","Ear Infection","condition_305","305","Extracted teeth",0,5.1238627907927,5.11277188580712,0.988275806219529,1
"condition_202","202","Ear Infection","condition_306","306","Fractured teeth",0,6.85381560235872,6.83523981589191,0.995623251803207,1
"condition_202","202","Ear Infection","condition_311","311","Retained deciduous (baby) teeth",0,4.57539490461067,4.55745768632895,0.983952382124344,1
"condition_202","202","Ear Infection","condition_313","313","Underbite",0,3.90784478569375,3.9007525896447,0.976070778753382,1
"condition_202","202","Ear Infection","condition_405","405","Atopic dermatitis (atopy)",17,9.94152899006173,9.90124300555185,0.0124423298233659,1
"condition_202","202","Ear Infection","condition_406","406","Chronic or recurrent hot spots",10,6.32049505231258,6.25541382092411,0.0706232571461629,1
"condition_202","202","Ear Infection","condition_411","411","Fleas",3,7.99228989588228,7.97087813107927,0.961491476506866,1
"condition_202","202","Ear Infection","condition_423","423","Pruritis (itchy skin)",24,15.3999078589059,15.309360596121,0.0139751138188832,1
"condition_202","202","Ear Infection","condition_426","426","Seasonal allergies",30,22.7500342378295,22.5250881091097,0.0633089746341574,1
"condition_202","202","Ear Infection","condition_432","432","Ticks",9,8.8151063031167,8.78376027835656,0.4751280233578,1
"condition_202","202","Ear Infection","condition_498","498","Other skin condition",5,11.8135409685132,11.760591573268,0.976528766568054,1
"condition_202","202","Ear Infection","condition_705","705","Anal sac impaction",7,6.76954064652536,6.75390091422195,0.464668818720848,1
"condition_202","202","Ear Infection","condition_708","708","Chronic or recurrent diarrhea",19,17.7187176227593,17.5509465559026,0.379863156230403,1
"condition_202","202","Ear Infection","condition_709","709","Chronic or recurrent vomiting",6,4.73624564784809,4.72915503874076,0.280577506023386,1
"condition_202","202","Ear Infection","condition_712","712","Food or medicine allergies",15,11.7951574137273,11.7014481868643,0.174408519293514,1
"condition_202","202","Ear Infection","condition_713","713","Foreign body ingestion or blockage",13,11.3781526989193,11.307744383533,0.314794566320953,1
"condition_202","202","Ear Infection","condition_798","798","Other gastrointestinal condition",2,4.98753031593815,4.9793464941489,0.90968734612556,1
"condition_202","202","Ear Infection","condition_916","916","Urinary tract infection (chronic or recurrent)",14,10.8078828228329,10.744295590317,0.16506674597289,1
"condition_202","202","Ear Infection","condition_1110","1110","Hip dysplasia",3,6.67868708858629,6.59600636892545,0.923979651595397,1
"condition_202","202","Ear Infection","condition_1117","1117","Patellar luxation",5,4.72238532291797,4.70680550903937,0.449089723558822,1
"condition_202","202","Ear Infection","condition_1198","1198","Other orthopedic condition",5,7.24704380749085,7.22579840538345,0.7984021580316,1
"condition_202","202","Ear Infection","condition_1605","1605","Bordetella and/or parainfluenza (kennel cough)",17,24.0866461519298,23.8858524855198,0.926471845117122,1
"condition_202","202","Ear Infection","condition_1609","1609","Coccidia",10,12.2467771382477,12.1958747407382,0.74000447580708,1
"condition_202","202","Ear Infection","condition_1616","1616","Gastrointestinal parasites",8,11.5699386775132,11.5216701033308,0.853537598360303,1
"condition_202","202","Ear Infection","condition_1617","1617","Giardia",31,46.8956321141598,46.197948550397,0.990323393691233,1
"condition_202","202","Ear Infection","condition_1619","1619","Heartworm infection",1,6.41969923431009,6.39201475603509,0.983970008925884,1
"condition_202","202","Ear Infection","condition_1622","1622","Hookworms",10,17.3147117009029,17.2034769242269,0.961096566133058,1
"condition_202","202","Ear Infection","condition_1630","1630","Parvovirus",3,4.94187768185872,4.93170317978672,0.809057036306911,1
"condition_202","202","Ear Infection","condition_1634","1634","Roundworms",10,18.5252114077466,18.3945163977153,0.976580126424111,1
"condition_202","202","Ear Infection","condition_1637","1637","Tapeworms",9,12.6070288736762,12.5549496706949,0.845657876559515,1
"condition_202","202","Ear Infection","condition_1698","1698","Other infectious disease",6,5.34845998833888,5.33777542721615,0.388968809092124,1
"condition_202","202","Ear Infection","condition_1701","1701","Chocolate",8,12.3920598319755,12.3418063092325,0.894386430942882,1
"condition_202","202","Ear Infection","condition_1703","1703","Grapes or raisins",7,6.73016283210545,6.71428939841334,0.45853063026526,1
"condition_202","202","Ear Infection","condition_1704","1704","Ingestion of human medications",6,7.97994862937148,7.96038549793485,0.758584700446245,1
"condition_202","202","Ear Infection","condition_1798","1798","Other ToxinConsumption",6,8.57220421154216,8.54762964655344,0.810515420715308,1
"condition_202","202","Ear Infection","condition_1801","1801","Dog bite",18,31.5932775301516,31.1470300207261,0.992567583205218,1
"condition_202","202","Ear Infection","condition_1805","1805","Fractured bone (other bone in limb)",3,6.75494331696965,6.738149746231,0.92598831710378,1
"condition_202","202","Ear Infection","condition_1812","1812","Laceration",9,14.5273821258331,14.4051130773763,0.927349921048229,1
"condition_202","202","Ear Infection","condition_1813","1813","Penetrating wound (such as a stick)",3,6.59835269495153,6.57252055030339,0.91977830275592,1
"condition_202","202","Ear Infection","condition_1817","1817","Torn or broken toenail",7,15.0027526105185,14.8759536329444,0.98100205673654,1
"condition_202","202","Ear Infection","condition_1898","1898","Other trauma",8,17.2491798989775,17.1432351548774,0.987254006514746,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_306","306","Fractured teeth",6,4.17801270575978,4.16493831485153,0.185989368714985,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_311","311","Retained deciduous (baby) teeth",6,3.97599519128686,3.95321732816185,0.154345429631566,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_313","313","Underbite",4,3.43614708528787,3.42144988413445,0.380247005262875,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_405","405","Atopic dermatitis (atopy)",8,4.35524884606672,4.34625573364425,0.0402080370546886,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_406","406","Chronic or recurrent hot spots",4,1.91668398682944,1.91502558912333,0.0661035320494134,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_411","411","Fleas",5,4.95024711289609,4.93281596759685,0.491063970877982,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_412","412","Food or medicine allergies that affect the skin",5,5.357331130563,5.34368858384448,0.561423357211439,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_423","423","Pruritis (itchy skin)",11,7.32675998865476,7.29891686886104,0.0869738375258304,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_426","426","Seasonal allergies",9,10.5343491019168,10.47611256167,0.682267856044957,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_432","432","Ticks",2,4.09523709612136,4.08653659043865,0.850007836185984,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_498","498","Other skin condition",2,5.31811739151024,5.30460103632621,0.925161441387135,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_705","705","Anal sac impaction",2,3.99541787112368,3.98483906328145,0.84124917361829,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_708","708","Chronic or recurrent diarrhea",10,6.80802395432262,6.78667655712968,0.110237153759245,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_709","709","Chronic or recurrent vomiting",1,2.73668537971132,2.73204055152577,0.85330116026222,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_712","712","Food or medicine allergies",3,4.61178591216842,4.60025375478391,0.773817581091973,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_713","713","Foreign body ingestion or blockage",2,4.26340314395933,4.25575711792543,0.863716222175426,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_798","798","Other gastrointestinal condition",3,2.58352570417563,2.57956170263453,0.397698958750935,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_916","916","Urinary tract infection (chronic or recurrent)",4,4.49661821956384,4.48432829019584,0.592708101651294,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1110","1110","Hip dysplasia",1,1.89886862033805,1.89731290122442,0.742983057503738,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1117","1117","Patellar luxation",2,4.98585620296299,4.94629610564026,0.910290315725985,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1198","1198","Other orthopedic condition",3,3.57241482242122,3.56466846654901,0.619123854645699,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1605","1605","Bordetella and/or parainfluenza (kennel cough)",4,11.6471013152095,11.5784388079164,0.987691352402348,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1609","1609","Coccidia",3,5.22989407620431,5.21801459845693,0.835513301103979,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1616","1616","Gastrointestinal parasites",6,5.03055332330229,5.01971922716677,0.3326173356778,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1617","1617","Giardia",14,22.3510771355061,22.1140979197762,0.962121717780667,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1619","1619","Heartworm infection",5,4.60117581080688,4.57472962217646,0.426039817669194,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1622","1622","Hookworms",8,7.572006198984,7.5471614440381,0.4380984168067,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1630","1630","Parvovirus",1,2.55907267844419,2.55448583691406,0.835336798489714,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1634","1634","Roundworms",7,7.50567604075625,7.48283527669883,0.573329965533236,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1637","1637","Tapeworms",5,6.19616976328565,6.17676866702454,0.684846890699503,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1698","1698","Other infectious disease",4,2.52586402987576,2.52255991651589,0.176665642938389,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1701","1701","Chocolate",4,7.06605187895757,7.0355098442733,0.87614520076388,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1703","1703","Grapes or raisins",3,3.40669044002585,3.4004580694899,0.587276246511146,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1704","1704","Ingestion of human medications",5,3.87206007336488,3.86485643569803,0.283070019229244,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1798","1798","Other ToxinConsumption",3,4.5392973132091,4.52738122475209,0.765293387612229,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1801","1801","Dog bite",7,13.9524218219557,13.8560698874759,0.969100738392164,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1805","1805","Fractured bone (other bone in limb)",5,3.3766783219866,3.37025978911374,0.188281828399272,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1812","1812","Laceration",3,5.76962594946014,5.75400285169665,0.87587533370851,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1813","1813","Penetrating wound (such as a stick)",1,2.65711594904948,2.65352277211049,0.845490422626161,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1817","1817","Torn or broken toenail",4,6.132995153392,6.11511456698743,0.80580933152176,1
"condition_304","304","Dental calculus (yellow build-up on teeth)","condition_1898","1898","Other trauma",8,8.49978129772497,8.46081953224235,0.568210490046299,1
"condition_305","305","Extracted teeth","condition_313","313","Underbite",3,2.2553425250647,2.24945763754198,0.309771492376031,1
"condition_305","305","Extracted teeth","condition_405","405","Atopic dermatitis (atopy)",1,2.25302594176279,2.25075181506069,0.798200569703458,1
"condition_305","305","Extracted teeth","condition_406","406","Chronic or recurrent hot spots",2,0.875609726691702,0.875332681447531,0.114721419694414,1
"condition_305","305","Extracted teeth","condition_411","411","Fleas",1,2.74411984106152,2.738732437431,0.854036823757641,1
"condition_305","305","Extracted teeth","condition_412","412","Food or medicine allergies that affect the skin",3,2.50406339226895,2.50153349824914,0.376926977488982,1
"condition_305","305","Extracted teeth","condition_423","423","Pruritis (itchy skin)",2,3.70674448827138,3.70013766070059,0.812535296566846,1
"condition_305","305","Extracted teeth","condition_426","426","Seasonal allergies",5,5.07590638820035,5.06368246409356,0.513454662428921,1
"condition_305","305","Extracted teeth","condition_432","432","Ticks",1,2.12933003533176,2.12701070288276,0.780637413496918,1
"condition_305","305","Extracted teeth","condition_498","498","Other skin condition",4,2.81366660409871,2.81002412538816,0.239564505132301,1
"condition_305","305","Extracted teeth","condition_705","705","Anal sac impaction",2,2.07487862628832,2.07222913341631,0.520742124540428,1
"condition_305","305","Extracted teeth","condition_708","708","Chronic or recurrent diarrhea",5,3.50255018370919,3.49735860787224,0.211646070548267,1
"condition_305","305","Extracted teeth","condition_709","709","Chronic or recurrent vomiting",0,1.4804953349851,1.47921636473695,0.888251525373967,1
"condition_305","305","Extracted teeth","condition_712","712","Food or medicine allergies",2,2.139149148385,2.13707441891059,0.537916250772961,1
"condition_305","305","Extracted teeth","condition_713","713","Foreign body ingestion or blockage",1,2.41327343157396,2.41057733796616,0.818657407061763,1
